program_count,"There are total 7 BTech. Programs which are currently offered by IIT Mandi. You can read about them from the link given below.
http://www.iitmandi.ac.in/academics/programs.php"
course_info,"You can refer the following pdf file for the list of courses offered to BTech. students.
https://www.iitmandi.ac.in/academics/files/Btech_Course_Basket.pdf"
branch_change,"Submit an application at the end of first year
No Backlogs and good academic standing. Merit based.
The strength of a class shall not fall below the sanctioned strength by more than 50% and shall not exceed the sanctioned strength by more than 50%. Also, the strength of any branch shall not be allowed to fall below a minimum strength of 20 students because of the branch change.
An eligible applicant who has secured a CGPA of 10.0 shall be allowed a change of branch of his/her choice without any constraint. For details refer the below link.
https://www.iitmandi.ac.in/academics/branch_change.php"
exc_req,It is based on your academic performance.
exchange_program,"A student exchange program is a program in which students from IIT Mandi study abroad at one of IIT Mandi's partner institutions. This envolves the student to stay in a foriegn country and continue his academics there for a semester or two.
https://www.iitmandi.ac.in/administration/MOUs/TU_Dresden.pdf"
,
minor_importance,"A minor is intended for a student to gain expertise in an area outside his/her major B.Tech. discipline. The name of the Minor will appear on the transcript and the degree certificate of the student.
http://iitmandi.ac.in/academics/minor_program.php"
minor_rules,"The area of the Minor must be different from the Major discipline of the student; the courses that are part of the Common Core (including HSS), or the Discipline Core/Electives cannot be counted towards a Minor. However, the 5 credits earned under Humanities Electives  may be counted for minor requirements if needed."
minor_procedure,"A specialist basket of at least 3 courses is identified for each Minor. Such course basket may rest on one or more foundation courses. A basket may have sequences within it, i.e. advanced courses may rest on basic courses in the basket. In order to successfully complete a Minor, a student needs to take at least 9 credits with a CGPA of 7.0 out of the courses defined in that Minor basket. 
http://iitmandi.ac.in/academics/minor_program.php"
minor_restriction,"A student is allowed to take any number of minors, but a particular course
cannot be counted for more than 1 minors.
http://iitmandi.ac.in/academics/minor_program.php"
,
scholarship_program,"There are many BTech. scholarship programs in IIT Mandi. Refer the below link for more info.
https://www.iitmandi.ac.in/academics/files/scholarships/B.Tech.%20Scholarship%20Notice.pdf"
scholarship_female,"Full tuition fee waiver and monthly stipend of Rs. 1000 for 10 months.
All female student receive the scholarship in the first year irrespective of category and income.
Second year onwards the scholarship will continue subject to good academic performance ( SGPA 7.0) for previous two semesters and no disciplinary action.
More info from the link below.
https://drive.google.com/folderview?id=1us51vsNEOJXRCUnx8cVBVtdcdVuOUO6a"
,
btech_honors,"A student may opt for B.Tech. (Honors) programme if she/he has CGPA of 8.5 or more and no ‘F’ grade till fourth or fifth semester.
For B. Tech (Honors), a student needs to earn additional 12 credits (over and above the required 160 credits for B. Tech degree) relevant to her/his discipline as recommended by the faculty advisor.
Student should do ISTP & MTP compulsorily and obtain a grade of ‘B’ or above in both.
Student should not have received ‘F’ grade throughout the BTech. program.
Student should secure an overall CGPA of 8.5 or more out of 172 credits (160+12)."
,
